Verdict,Note,measurementid,material,manufacturer,grade,property,value,unit,median,z,group_grades,direction,specimen_form,sourceid,locator,SHA256,URL
real,"Prints ""Flexural strength ± 51.2 Mpa - -"" (no method) beside tensile yield 22 MPa and flexural modulus 2126 MPa; credible for a HIPS.",V009706,HIPS,FormFutura,EasyFil HIPS,Flexural strength,51.2,MPa,40,7.6,3,Unstated,unstated,S-PET-TDS-EasyFil-HIPS,p. 1: Flexural strength ±,72fca47af0197f1b839d7b2cee5a0ae96c9d6aa075a11739e68dcc77dc3248fc,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/EasyFil%20HIPS/Data%20Sheets%20and%20Declarations/TDS%20-%20EasyFil%20HIPS.pdf
real,"Prints ""Tensile strength 23,0 MPa ISO 527"" beside modulus 1400 MPa and elongation 20%; credible for a fairly stiff PP. The group median comes from softer PP filaments.",V006033,PP,Fillamentum,PP 2320,Tensile strength (endpoint unspecified),23,MPa,12,7.4,6,Unstated,unstated,R-FILLAMENTUM-Technical-Data-Sheet-PP-2320,p. 1: Tensile strength,4886af2bb72ffe75cf0b6fe1375b52e414cad41b890ebeeef825c2a19c521acf,https://fillamentum.com/wp-content/uploads/2020/10/Technical-Data-Sheet_PP-2320.pdf
real,"Prints ""Elongation at break 16 % ISO 527-2 10 mm/min, 23 °C"" beside tensile strength 72 MPa and modulus 3600 MPa; credible for a recycled PA6 with carbon fibre, whose base is ductile.",V006061,PA6-CF,Fillamentum,Fishy Filaments’ 0rCA,Elongation at break,16,%,5,7.4,4,Unstated,unstated,R-FILLAMENTUM-TDS-Fishy-filament-OrCA-EN-20072023,p. 1: Elongation at break,7140e2d242e8706cb64f824a8925076d7758e1fc7a213fae0ba8efbda29f7298,https://fillamentum.com/wp-content/uploads/2023/07/TDS_Fishy-filament-OrCA_EN_20072023.pdf
real,"Prints ""Tensile Strength MPa 23~29 GB/T 1040.2-2006"" (elongation >80%); credible for PP. The group median comes from softer PP filaments.",V007025,PP,Yousu,PP,Tensile strength (endpoint unspecified),23,MPa,12,7.4,6,Unstated,unstated,R-YOUSU-YOUSU3DPPTDS-4872,p. 1: Tensile Strength MPa,7b37672b209c17f94699c98aea76c0bd7a0958def6490ab25c395a8adcec5097,https://ysfilament.com/u_file/2211/06/file/YOUSU3DPPTDS-4872.pdf
variant,"Prints ""Specific gravity ISO 1133 1.35 g/cc"" (tensile modulus 3800, flexural 4500 MPa): beyond unfilled PLA (≈1.24), so this matte PLA has an unnamed filler; Variant unset.",V008791,PLA,AzureFilm,PLA Matte (HS),Density,1350,kg/m³,1240,7.4,140,Not applicable,unstated,R-3DJAKE-3DJAKE-TDS-PLA-MATTE,p. 1: Specific gravity ISO 1133,28c843726cc412e951783d62afb582e3dd64e9f971237bd994fb77e6351e3d1c,https://3d.nice-cdn.com/upload/file/TDS_-_PLA_MATTE.pdf
real,"Prints ""HDT (0,45 MPa, “B”) 65 °C ISO 75-1""; credible for a carbon-fibre PLA, a few degrees above neat PLA. The z is large only because the group's spread is tight.",V010074,PLA-CF,3DJake,ecoPLA CF,HDT,65,°C,54,7.4,13,Not applicable,unstated,R-3DJAKE-TDS-3DJAKE-ecoPLA-CF,"p. 1: HDT (0,45 MPa, “B”)",397b771ace836476489b00947f3e03efef0e57e99a089e3f8fefc6b852764f61,https://3d.nice-cdn.com/upload/file/TDS_3DJAKE_ecoPLA-CF.pdf
real,"Prints ""Tensile Modulus ASTM D882 MPa 2300"" (yield 43 MPa at 5%); credible for a silk PLA. It sits low only against the film values in its group.",V010025,PLA,Fiberlogy,FiberSilk,Tensile modulus,2.3,GPa,3.4,-7.4,17,Unstated,other,R-FIBERLOGY-FIBERLOGY-FIBERSILK-TDS-201a07,p. 1: Tensile Modulus ASTM D882 MPa,201a0788624de7a7f7c1a70628630a658c1f4cc987e0999bab847d83e26a6b70,https://fiberlogy.com/app/uploads/2026/07/FIBERLOGY_FIBERSILK_TDS.pdf
implausible,"Prints ""Flexural strength 192 MPa ISO 178"" with ""Strain at flexural yield 1,4%"": that implies a 13.7 GPa modulus against its 2971 MPa, and three times its tensile yield.",V009535,PLA,FormFutura,High Precision PLA,Flexural strength,192,MPa,73,7.3,55,Unstated,unstated,S-PET-formfutura-tds-highprecisionpla,p. 1: Flexural strength,1959b261d7baa0ed050faa3a2d589ab6c2c4d0c51b5b1d246c96d0aabdbc7ea6,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/High%20Precision%20PLA/Datasheets%20and%20declarations/formfutura-tds-highprecisionpla.pdf
wrong-condition,"Prints ""Notched Izod Impact [crystaline] 240 J/m D 256"" under ""Mechanical Properties*"" with ""* annealed""; value as printed, but the annealed (crystallised) state is not recorded.",V002788,PLA,Spectrum,Huracan PLA,Izod impact strength,240,J/m,35,7.3,19,Not applicable,unstated,S-SPECTRUM-en-tds-spectrum-pla-huracan,p. 1: Notched Izod Impact [crystaline],45c6c6fe967a6d68666f642fd00f422b563ee65ac7545767e0e31046deb9bcb8,https://spectrumfilaments.com/wp-content/uploads/2023/11/en_tds_spectrum_pla_huracan.pdf
real,"Prints ""IZOD Impact (Notched 72F) kJ/m 19.5 D256"" for a 95A TPU; a TPU that does not snap at a notch is credible, and nothing on the page contradicts it.",V009987,TPU,Siraya Tech,Flex TPU 95A,Izod impact strength,19.5,kJ/m²,4.4,7.3,5,Not applicable,unstated,D-SIRAYA-siraya-tech-fibreheart-flex-tpu-95a-tds,p. 1: IZOD Impact (Notched 72F) kJ/m2,0d062c210b61516f652a7b014ac22214575b6a7332c8eaf0cd840a5705803dcb,https://siraya.tech/pages/siraya-tech-fibreheart-flex-tpu-95a-tds
real,"Prints ""MFR (ISO 1133) 60 g/10min"" (condition not stated); credible for a free-flowing water-soluble PVA, and without a condition it is not comparable with the group.",V010223,PVA,Fabru,Polyvinyl alcohol (PVA),Melt mass-flow rate,60,g/10 min,7.2,7.3,9,Not applicable,unstated,R-FABRU-220-Material-data-sheet-PVA-purefil,p. 1: MFR (ISO 1133),8cab73a6937d63d90b32e4f2081e2a6f3201a8158f1bb718ad76ca6ee36e4710,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/220%2FMaterial+data+sheet+PVA+purefil.pdf
real,"Prints ""Elongation at break 51 % ISO 527-2 10 mm/min, 23 °C"" (yield 59, break 48 MPa); credible for an unfilled recycled PA6.",V006012,PA6,Fillamentum,Fishy Filaments’ Porthcurno,Elongation at break,51,%,5.95,7.2,4,Unstated,unstated,R-FILLAMENTUM-TDS-Fishy-filament-Porthcurno-EN-06042023,p. 1: Elongation at break,0a262443cd0fc268d97516e654cef0e89fb7d3f34e546ff1e5ed059b6b18dd67,https://fillamentum.com/wp-content/uploads/2023/04/TDS_Fishy-filament-Porthcurno_EN_06042023.pdf
real,"Prints ""Melt index 240°C, 5 kg 13.9 g/10min""; credible for a CF-ASA at 240 °C/5 kg (the group mixes conditions).",V006478,ASA-CF,Polymaker,FIBERON ASA CF08,Melt mass-flow rate,13.9,g/10 min,4.3,7.2,9,Not applicable,unstated,R-POLYMAKER-FIBERON-TDS-FIBERON-ASA-CF08-V1-0-EN,"p. 1: Melt index 240°C, 5 kg",a14a5ae1c5ca6030b00a95bff124059fe0a2553b23d3cc2f84c3fcb2cde706ef,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_FIBERON-ASA-CF08_V1.0_EN.pdf
real,"Prints ""Elastic modulus 12500 MPa ISO 527 (1)"" with 65 MPa at 0.5% break for a 10% CF PLA: self-consistent (secant ≈ 13 GPa) and within reach of fibres aligned by printing.",V003097,PLA-CF,Spectrum,PLA Carbon,Tensile modulus,12.5,GPa,4.3,7.2,3,Unstated,unstated,S-SPECTRUM-en-tds-spectrum-pla-carbon,p. 1: Elastic modulus,de5fa0f4262689e9f8a5cff81b5bfbd47d8b47ec9377549900709dc0e42ae091,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_pla_carbon.pdf
wrong-condition,"Prints ""Impact Strength (notched Izod, 23C) ASTM D256 9.1 ft.lbf/in² 19.1 kJ/m²"" (credible for 95A TPU); ""All printed specimens were created using the TAZ5"" not recorded.",V006673,TPU,NinjaTek,Cheetah,Izod impact strength,19.1,kJ/m²,4.4,7.1,5,Not applicable,unstated,R-NINJATEK-Cheetah-TDS,"p. 1: Impact Strength (notched Izod, 23C) ASTM D256 9.1 ft.lbf/in2",18cd1628f0d225fedce8120808e70f6b3d81cfe31436c07722b0e1f4ee413f35,https://ninjatek.com/wp-content/uploads/Cheetah-TDS.pdf
wrong-condition,"Prints ""Notched Izod Impact [crystaline] 233 J/m D 256"" (amorphous: 160) with ""* 3D printed at 100% infill and annealed at 110°C/20 min, XY axis""; printed, annealed and XY not recorded.",V003113,PLA,Spectrum,PLA Pro,Izod impact strength,233,J/m,35,7,19,Not applicable,unstated,S-SPECTRUM-en-tds-spectrum-pla-pro,p. 1: Notched Izod Impact [crystaline],ea2acdbdfe69089289cd32978628bff823989248331107059a40c55396f2796d,https://spectrumfilaments.com/wp-content/uploads/2021/07/en_tds_spectrum_pla_pro.pdf
wrong-condition,"Prints ""Notched Izod Impact [crystaline] 233 J/m D 256"" (amorphous: 160) with ""* 3D printed at 100% infill and annealed at 110°C/20 min, XY axis""; printed, annealed and XY not recorded.",V008344,PLA,Spectrum,PLA Pro,Izod impact strength,233,J/m,35,7,19,Not applicable,unstated,S-SPECTRUM-EN-TDS-Spectrum-PLA-Pro-2,p. 1: Notched Izod Impact [crystaline],5d9d0458e3db37df0888b56de831a5a16a89e12e4aa612b2102fe8be8f02634b,https://3d.nice-cdn.com/upload/file/EN_TDS_Spectrum_PLA_Pro[2].pdf
wrong-condition,"Prints ""Melt flow rate 58 g/10min ISO 1133 260° C/5Kg""; value right, but the 260 °C/5 kg condition, which explains the high flow, is not recorded (Test temperature Not published).",V010019,PVA,FormFutura,Helios Support,Melt mass-flow rate,58,g/10 min,7.2,7,9,Not applicable,unstated,S-PET-TDS-Helios-Support,p. 1: Melt flow rate,19c37b448949ea8da007a2c21a698720dafdb850132fbafb9186d1f0fb534145,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/Helios%20Support/Data%20Sheets%20and%20Declarations/TDS%20-%20Helios%20Support.pdf
wrong-condition,"Prints ""IZOD Impact Notched(X-Y) ISO180 23℃ KJ/m² 18.0952"" for a ""High toughness"" PLA; credible, but footnote [1] makes it a printed spline; not recorded.",V008593,PLA,SUNLU,PLA Classic,Izod impact strength,18.0952,kJ/m²,4.7,6.9,15,XY,unstated,R-SUNLU-PLA-Classic-TDS,p. 1: IZOD Impact Notched(X-Y) ISO180 23℃ KJ/m2,d140af2e6529276f85cd006714659be3ddbe3cff5c14b658fb10268f76b8ab53,https://3d.nice-cdn.com/upload/file/PLA_Classic-TDS.pdf
wrong-condition,"Prints ""Flexural Strength GB/T 9341 103 MPa"" (modulus 5003); credible, but p. 2 says values come from ""the injection molding spline test"", which is not recorded.",V006750,PLA-CF,eSUN,ePLA CF,Flexural strength,103,MPa,67.5,6.8,5,Unstated,unstated,S-PEBA-ePLA-CF-TDS,p. 1: Flexural Strength GB/T 9341,2e1393c7ac594c194ded636b99a2c889e6815a30e6e48060f1762dd160ba22c3,https://3d.nice-cdn.com/upload/file/ePLA-CF-TDS.pdf
real,"Prints ""Tensile Elongation at break 280%"" (yield 49 MPa); credible for a ductile PETG. The sheet's flexural lines (60 MPa modulus, 1170 MPa strength) are swapped, but this line is clean.",V008990,PETG,MatterHackers,Build Series PETG,Elongation at break,280,%,31,6.8,30,Unstated,unstated,R-MATTERHACKERS-PRO-SERIES-BBz11b,p. 1: Tensile Elongation at break,72b92b8c13a739ed453d4fc6c105ed98fc5fc9af46756b2c4286444b06bdc453,https://www.matterhackers.com/r/BBz11b
real,"Prints ""Tensile Elongation at Break 280% ISO 527"" (yield 49 MPa); credible for a ductile PETG.",V009134,PETG,MatterHackers,MH Build Series PETG,Elongation at break,280,%,31,6.8,30,Unstated,unstated,R-MATTERHACKERS-PRO-SERIES-HQsnRp,p. 1: Tensile Elongation at Break,f3325dc2cbd8b07199425d1b6f5912322284b2e377f79fa37017e0224f9551e9,https://www.matterhackers.com/r/HQsnRp
real,"Prints ""Melting Temperature 180 °C / 356 °F ISO 11357-3"" (Tg -35 °C); credible for a 45D copolyester elastomer, whose hard phase melts higher than softer TPCs.",V001694,TPC / TPEE,BASF Forward AM,Ultrafuse TPC 45D,Melting temperature,180,°C,160,6.7,3,Not applicable,unstated,S-TPC,p. 2: Melting temperature,43cf570387b2fcd59372e157e61930b1b56e36bd847fce3bc2f7992083eadea6,https://move.forward-am.com/hubfs/AES%20Documentation/Flexible%20Filaments/TPC%2045D/TDS/Ultrafuse_TPC_45D_TDS_EN_v2.3.pdf
wrong-condition,"Prints ""Heat Distortion Temperature 75-85°C E 2092"" under ""Thermal Properties*"" with ""* 3D printed at 100% infill and annealed at 110°C/20 min, XY axis""; printed and annealed not recorded.",V003114,PLA,Spectrum,PLA Pro,HDT,75,°C,55,6.7,94,Not applicable,unstated,S-SPECTRUM-en-tds-spectrum-pla-pro,p. 1: Heat Distortion Temperature,ea2acdbdfe69089289cd32978628bff823989248331107059a40c55396f2796d,https://spectrumfilaments.com/wp-content/uploads/2021/07/en_tds_spectrum_pla_pro.pdf
real,"Prints ""密度 Density ISO 1183 23℃ g/cm³ 1.15"" for a declared UL94 V-0 flame-retardant ABS; flame-retardant additives raise ABS to about this density.",V004699,ABS,SUNLU,ABS-FR,Density,1150,kg/m³,1050,6.7,41,Not applicable,unstated,R-SUNLU-48f9a499-b97a-4844-be4b-35ca349b5b64,p. 1: 密度 Density ISO 1183 23℃ g/cm3,9de5ef7245a90a97c871bbaad2ac061c22d82c77c9316df48a6a96fc87b47331,https://media.sunlu.com/prod/20260330/48f9a499-b97a-4844-be4b-35ca349b5b64.pdf?filename=TDS
real,"Prints ""Glass Transition Temperature ºC 70""; at the low end for PETG but within copolyester range, and nothing on the sheet contradicts it.",V005965,PETG,colorFabb,PETG Economy,Glass transition temperature,70,°C,80,-6.7,21,Not applicable,unstated,R-COLORFABB-colorFabb-PETG-Economy-TDS,p. 1: Glass Transition Temperature °C,c3eadd1436d6d75abb3640ef099ae94dc1f6af637dacc8edecb2e0fceed6ab93,https://ninjatek.com/wp-content/uploads/colorFabb_PETG_Economy_TDS.pdf
real,"Prints ""Material density 1.00-1.22 g/cm³ ISO 1183"" for a TPU from ""100% recycled sources""; the row keeps 1.00 with 1.22 as upper bound, as printed.",V007286,TPU,Recreus,RECIFLEX,Density,1000,kg/m³,1200,-6.7,52,Not applicable,unstated,R-RECREUS-FILAFLEX-Reciflex,p. 1: Material density,cd9164250bcce43d5937e01ce2ae19d24ff094962f32e3c6137afe83ea19eaf0,https://drive.google.com/file/d/1JiQdkxurnYcHe0WIYoOyc2kaiKw_uogh/view?usp=drive_link
wrong-condition,"Prints ""Heat Distortion Temperature 75-85°C E 2092"" under ""Thermal Properties*"" with ""* 3D printed at 100% infill and annealed at 110°C/20 min, XY axis""; printed and annealed not recorded.",V008345,PLA,Spectrum,PLA Pro,HDT,75,°C,55,6.7,94,Not applicable,unstated,S-SPECTRUM-EN-TDS-Spectrum-PLA-Pro-2,p. 1: Heat Distortion Temperature,5d9d0458e3db37df0888b56de831a5a16a89e12e4aa612b2102fe8be8f02634b,https://3d.nice-cdn.com/upload/file/EN_TDS_Spectrum_PLA_Pro[2].pdf
real,"Prints ""Glass transition DSC – °C 90"" beside Vicat 85 °C and HDT 70/64 °C; high-end for PETG but consistent with its own softening figures. The page's text names the product ""Buddy3D PET-G"".",V008405,PETG,Prusa Research,PET-G,Glass transition temperature,90,°C,80,6.7,21,Not applicable,unstated,S-PVB-technisches-datenblatt-3,p. 2: Glass transition DSC – °C,856a4eeb51955724cb28c49b7853f1f17a91aa8a9ae40e82ccfaa8f3edbb068d,https://3d.nice-cdn.com/upload/file/technisches-datenblatt_3_.pdf
real,"Prints ""Material density 1.00-1.22 g/cm³ ISO 1183"" for a TPU from ""100% recycled sources""; the row keeps 1.00 with 1.22 as upper bound, as printed.",V008732,TPU,Recreus,RECIFLEX,Density,1000,kg/m³,1200,-6.7,52,Not applicable,unstated,R-RECREUS-RECIFLEX-TECHNICAL-DATA-SHEET-TDS-2021,p. 1: Material density,fc6fac2130c915578aa4d5a3704e7c444e1461a81355bab4ac22b628c440e687,https://3d.nice-cdn.com/upload/file/RECIFLEX_TECHNICAL_DATA_SHEET_TDS_2021.pdf
implausible,"Prints ""Heat deflection temp. HDT/A 75-80°C"" (1.8 MPa) for a PLA: 20 °C above PLA's Tg, reachable only by a crystallised part; the sheet gives an annealing recipe but does not tie the value to it.",V008746,PLA,MatterHackers,Tough PLA,HDT,75,°C,55,6.7,94,Not applicable,unstated,R-MATTERHACKERS-PRO-SERIES-8AWUF9,p. 1: Heat deflection temp. HDT/A,0bc1547b4a32238fb4c7279753594cf3915c98cde7ce7208b3270553eb52b830,https://www.matterhackers.com/r/8AWUF9
real,"Prints ""Elongation at Break 58,00% D 638""; credible for a PETG blend. (Its ""Tensile Stress at Yield 26 MPa"" beside break 48 MPa repeats the Spectrum template flagged elsewhere.)",V006249,PETG-ESD,Spectrum,petg esd,Elongation at break,58,%,9,6.7,4,Unstated,unstated,S-SPECTRUM-EN-TDS-Spectrum-PETG-ESD,p. 1: Elongation at Break,249758e169e5d5124ca9129503ba19ed08499cc56ad454c28c0cde018e0f5e69,https://3d.nice-cdn.com/upload/file/EN_TDS_Spectrum_PETG_ESD.pdf
wrong-condition,"Prints ""Equilibrium water absorption (%)= 0.22%"" under the curve ""70% RH, 23°C"": an equilibrium value at 70% RH, not a 24 h immersion one; no condition recorded.",V003882,PC,Polymaker,Polymaker PolyMax PC FR,Water absorption,0.22,%,0.25,-6.7,6,Not applicable,unstated,S-POLYCN-TDS-Polymaker-PolyMax-PC-FR-V5-5-2026-01-06-EN,p. 1: Equilibrium water absorption (%)=,cbb2c4d96e941bce72b511f55290ceeaf26aa7c062c7afb77708bf0681215863,https://polymaker.com/wp-content/uploads/TDS_Polymaker_PolyMax-PC-FR_V5.5_2026-01-06_EN.pdf
real,"Prints ""Impact Strength, Notched (ISO 179) 40 kJ/m²"" for an ABS with tensile modulus 1400 MPa; credible for a high-impact ABS.",V006759,ABS,BigRep,ABS,Charpy strength,40,kJ/m²,20.015,6.7,8,Not applicable,unstated,R-BIGREP-EamZRWAunoxKoIYZCacNr0YBllxjtWjQ2wi-t2bk8dMrZQ,"p. 1: Impact Strength, Notched (ISO 179)",3042d6a49381cc5a6a8b2a68f97e61aac2ed09b0c9852c7c57e0fb6c2546546e,https://bigrepgmbh.sharepoint.com/:b:/g/EamZRWAunoxKoIYZCacNr0YBllxjtWjQ2wi-t2bk8dMrZQ?e=hnnAF5
wrong-condition,"Prints ""Tensile Strength(X-Y) ISO527/2 50mm/min 54 MPa""; credible, but footnote [1] ""Test the spline printing ... Fill 100%"" makes it printed; not recorded.",V008540,ABS-GF,SUNLU,ABS-GF,Tensile strength (endpoint unspecified),54,MPa,37.2,6.7,3,XY,unstated,R-SUNLU-ABS-GF-TDS,p. 1: Tensile Strength(X-Y) ISO527/2 50mm/min MPa,c3b7ec6fb0875c943c690979ade2b637ffb580293205cb3cae004575948682d6,https://3d.nice-cdn.com/upload/file/ABS-GF_TDS.pdf
wrong-condition,"Prints ""Tensile strength X-Y 50mm/min GB/T 1040.4 MPa 15.68"" under ""Mechanical Properties of Printed Samples""; printed not recorded. Low for ABS, beside a 217 MPa modulus.",V005136,ABS,Eryone,Hyper -Speed ABS,Tensile strength (endpoint unspecified),15.68,MPa,33.4,-6.6,11,XY,unstated,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--fbbd78,p. 2: Tensile strength X-Y 50mm/min GB/T 1040.4 MPa,fbbd78d14bbb59d010d609a96c92fa13da80ea45199100a8133d927df4a111f3,https://hub.globalso.com/b/file_manager_downLoad?path=/file_manage/3828/20250903/eryone-abs-hs-tds.pdf
implausible,"Prints ""Tensile Strength ISO 527 MPa 78"" (bending strength 79) for a matte PETG: about 50% above a PETG's tensile strength (the maker's plain PETG sheet prints 55), and no filler is declared.",V007966,PETG,SIDDAMENT,PETG Matte,Tensile strength (endpoint unspecified),78,MPa,52.6,6.6,15,Unstated,unstated,S-PCGF-PETG-Matte-TDS-Siddament,p. 1: Tensile Strength ISO 527 MPa,996e93039bc14988b45a69c5f5764789f9269c21e5ee3255604cff701351ad83,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/PETG_Matte_TDS_Siddament.pdf?v=1747543225
real,"Data table prints ""Vicat softening temperature (°C) ... Silk 64.7"" (ISO 306); credible for a PLA-based silk filament.",V001914,PLA Silk,Polymaker,Panchroma Silk PLA,Vicat softening temperature,64.7,°C,55,6.5,8,Not applicable,unstated,R-POLYMAKER-PANCHROMA-TDS-V2-1,"Data table, Silk: Vicat softening temperature",12015f8e82a3420ed806e90c8c730645accda3fcc37f6b51f907e0574ff3c895,https://polymaker.com/wp-content/uploads/Panchroma_TDS_V2.1.pdf
real,"Prints ""Hardness (Shore A, 3 s) 63 — ISO 7619-1"" for Recreus ""60A"" (elongation 950%, stress at 100% 2,5 MPa); the hardness the product is named for, credible for an ultra-soft TPU.",V007267,TPU,Recreus,60A,Hardness,63,Shore A,92,-6.5,30,Not applicable,unstated,R-RECREUS-FILAFLEX-Filaflex-60A,"p. 2: Hardness (Shore A, 3 s)",cb1a4af75ad514ac04edfb4e310ed36ae9f41fdaefd91e6b4091bc6d290ed4ee,https://drive.google.com/file/d/1Kg17vN06TGPGLvABXIf5wUkYe2c0IHIA/view
wrong-condition,"Prints ""Density GB/T 1033 0.7 g/cm³"" from ""the injection molding spline test"" (p. 2), not recorded. Also a declared foamed PLA (""active foaming technology""): Variant unset.",V009165,PLA Wood,eSUN,Wood,Density,700,kg/m³,1200,-6.5,14,Not applicable,unstated,S-PEBA-eSUN-Wood-Filament-TDS-V4-0,p. 1: Density GB/T 1033,1846b02b70ef2e32452763c330aec3c6e235d2d5b70198bb7d82ba19cd1d6196,https://www.esun3d.com/media/esun/catalog/certification/product/PLA-Wood/eSUN_Wood_Filament_TDS_V4.0.pdf
wrong-condition,"Prints ""Elongation at break(X-Y) ISO527/2 50mm/min % 12""; footnote [1] makes it a printed spline, not recorded. Tg 99 °C and Tm 190 °C on the sheet do not read as PA12.",V008192,PA12-CF,SUNLU,PA12-CF,Elongation at break,12,%,4,6.3,4,XY,unstated,R-SUNLU-PA12-CF-TDS,p. 1: Elongation at break(X-Y) ISO527/2 50mm/min %,055519eef178c1845704d555d4dd99620b4a5b5a36c9d79dce2186c67ea0ed68,https://3d.nice-cdn.com/upload/file/PA12-CF-TDS.pdf
wrong-condition,"Prints ""Elongation at break (X-Y) 27.8 ± 2.4 %"" (tensile 23.2 MPa); credible, but ""HOW TO MAKE SPECIMENS"" (printed, 100% infill) is not recorded.",V003863,PLA,Polymaker,PolyTerra PLA,Elongation at break,27.8,%,6.3,6.3,35,XY,unstated,S-POLYCN-TDS-PolyTerra-PLA-V6-0-2026-06-08-EN,p. 1: Elongation at break (X-Y),c67a4bd6f41a85b5f633e09facbfe76480fe626fadf3c68616104b99a4b93b97,https://polymaker.com/wp-content/uploads/TDS_PolyTerra_PLA_V6.0_2026-06-08_EN.pdf
real,"Prints ""Glass Transition Temperature (Tg) DSC °C 137""; credible as the PC-phase transition of a PC/ABS blend (HDT 0.45 MPa 126 °C on the same sheet).",V001553,PC-ABS,3DXTECH,3DXMAX PCABS,Glass transition temperature,137,°C,109,6.3,3,Not applicable,printed,X-3DXMAX-PCABS-TDS-v3,p. 1: Glass Transition Temperature (Tg),2f1bbd6de32a6e9a4a24e1ef7c61d0ebfb39c410faf73fe7be2178a0bf39de05,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXMAX_PCABS_TDS_v3.pdf?v=1723942764
wrong-condition,"Prints ""Elongation at break(X-Y) ISO527/2 50mm/min % 27.50"" for a ""High toughness"" PLA; credible, but footnote [1] makes it a printed spline; not recorded.",V008590,PLA,SUNLU,PLA Classic,Elongation at break,27.5,%,6.3,6.2,35,XY,unstated,R-SUNLU-PLA-Classic-TDS,p. 1: Elongation at break(X-Y) ISO527/2 50mm/min %,d140af2e6529276f85cd006714659be3ddbe3cff5c14b658fb10268f76b8ab53,https://3d.nice-cdn.com/upload/file/PLA_Classic-TDS.pdf
real,"Prints ""Melt Flow Rate (MFR) (280℃/5Kg) ISO 1133 g/10min 35~40""; credible for a CF-PPA at 280 °C/5 kg (the group mixes conditions).",V005235,PPA-CF,Flashforge,PPA-CF,Melt mass-flow rate,35,g/10 min,11,6.2,3,Not applicable,unstated,D-FLASH-PPA-CF-TDS-EN,p. 1: Melt Flow Rate (MFR) (280℃/5Kg) ISO 1133 g/10min,403113302f1a5401ba2e680e2131069c971610eb3d3170718a536029eb8a6813,https://after-support.flashforge.jp/uploads/datasheet/tds/PPA_CF_TDS_EN.pdf
real,"Prints ""Crystallization temperature DSC, 10°C/min 77.21°C"" (Tg 59.8, Tm 177.23); a low cold-crystallisation peak is credible for a fast-crystallising HT PLA.",V003527,PLA,Polymaker,Polymaker HT PLA,Crystallization temperature,77.21,°C,111.25,-6.1,6,Not applicable,unstated,S-POLYCN-Polymaker-HT-PLA-TDS-EN-V1-1,"p. 3: Crystallization temperature DSC, 10°C/min",442547e8f1a407bd82b3b2d14e3e8a674f18928e5ced0dbc4f65f30a46f07fbb,https://cdn.shopify.com/s/files/1/0548/7299/7945/files/Polymaker_HT-PLA_TDS_EN_V1.1.pdf?v=1746635222
real,"Prints ""Crystallization temperature DSC, 10°C/min 77.21°C"" (another edition of the same sheet); a low cold-crystallisation peak is credible for a fast-crystallising HT PLA.",V003571,PLA,Polymaker,Polymaker HT PLA,Crystallization temperature,77.21,°C,111.25,-6.1,6,Not applicable,unstated,S-POLYCN-Polymaker-HT-PLA-TDS-EN-V1-0,"p. 3: Crystallization temperature DSC, 10°C/min",4bf0dcd61bd4732caac2243535fc361f4c13ec0f123025ecae723737b8d27f4c,https://3d.nice-cdn.com/upload/file/Polymaker_HT-PLA_TDS_EN_V1.0.pdf
real,"Prints ""Yield stress (ISO 527-2/50) 54 MPa"" (modulus 2540 MPa) for a transparent MABS; a credible yield stress for a methacrylate-ABS.",V005679,ABS,Fabru / purefil,Methylmethacrylat-Acrylnitrilbutadienstyrol (MABS),Tensile yield strength,54,MPa,44.9769,6.1,10,Unstated,unstated,R-FABRU-PUREFIL-88-material-data-sheet-MABS-purefil,p. 1: Yield stress (ISO 527-2/50),c238718e58c7e92b0198d63b9e80f49fb487c4fbf72cb6de34f8cb21a8a8cda5,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/88%2Fmaterial+data+sheet+MABS+purefil.pdf
real,"Prints ""Elongation at Yield 7,00% D 638"" (yield 43 MPa, break 210%) for a tough ""co-polyester""; a credible yield strain for a ductile copolyester.",V002847,PETG,Spectrum,PET-G HT100,Elongation at yield,7,%,4.3,6.1,16,Unstated,unstated,S-SPECTRUM-en-tds-spectrum-petg-ht100,p. 1: Elongation at Yield,596df17233fa8273c74c0bd8da1b7e154bdf8fbb1760b6b9f4379976bf600df1,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_petg_ht100.pdf
